2905,Mortimer & Donlands,62,Mechanical
2906,Kingston and Beechgrove,86,Emergency Services
2907,Dufferin and Bloor,29,Diversion
2908,Main Station,87,Utilized Off Route
2909,Finch Station,53,Investigation
2910,Eglinton and Danforth,116,Diversion
2911,Eglinton and Danforth,86,Diversion
2912,Markham and Ellesmere,102,Emergency Services
2913,0533 Yonge & Queens Quay,320,Utilized Off Route
2914,Greenwin & Bathurst,307,Vision
2915,Newgale Gate and Tapscott,353,Mechanical
2916,Tapscott at crowntrail,134,Investigation
2917,Tapscott and Crow Trail,134,Late Leaving Garage - Operator
2918,Brimley and Steeles,21,Late Leaving Garage - Operator
2919,Lawrence and Scarborough Golf Club,54,Late Leaving Garage - Operator
2920,Kennedy station,34,Investigation
2921,FINCH STATION,53,Mechanical
2922,Kenndy stn,113,Investigation
2923,Eglinton Station,32,Investigation
2924,Sheppard West Station,105,Mechanical
2925,Eglinton station,56,Mechanical
2926,Kennedy Stn.,54,Mechanical
2927,Lawrence West Station,52,Mechanical
2928,Neptune and Baycrest,109,Investigation
2929,Lawrence Station,52,Utilized Off Route
2930,Oakwood loop,63,Mechanical
2931,Ossington stn,63,Investigation
2932,Bingham Loop,12,Mechanical
2933,STC,133,Utilized Off Route
2934,Fenside dr and roywood,122,Mechanical
2935,Oakwood loop,63,Mechanical
2936,AVENUE RD AND LAWRENCE,52,Investigation
2937,Dufferin & Lawrence,29,Mechanical
2938,Varna & Cather Crescent,109,Diversion
2939,Scarborough Town Centre,38,Utilized Off Route
2940,Kipling station,123,Mechanical
2941,STEELES/WESTON,60,Management
2942,Kennedy station,43,Utilized Off Route
2943,Warden Stn,17,Utilized Off Route
2944,Scarborough Centre Station,133,Utilized Off Route
2945,Warden Stn,16,Utilized Off Route
2946,Scarborough Centre Station,133,Utilized Off Route
2947,FINCH WEST STATION,36,Utilized Off Route
2948,Kennedy Station,57,Utilized Off Route
2949,Scarborough Centre Station,133,Utilized Off Route
2950,Scarborough Centre Station,133,Utilized Off Route
2951,Pine and Lawrence,79,Mechanical
2952,Steeles loop,927,Utilized Off Route
2953,Kennedy Station,57,Utilized Off Route
2954,Scarborough Centre Station,133,Utilized Off Route
2955,Scarborough Centre Station,133,Utilized Off Route
2956,Warden/Lafontaine,68,Emergency Services
2957,Steeles and Martingrove,927,Utilized Off Route
2958,Jane and Harding,35,Investigation
2959,Kennedy Station,43,Utilized Off Route
2960,Leslie and Eglinton,54,Mechanical
2961,Ossington stn,63,Mechanical
2962,Steeles and Martingrove,927,Utilized Off Route
2963,Kennedy Station,86,Utilized Off Route
2964,Emmit and Jane,32,Mechanical
2965,Eglin ton Garage,116,Late Leaving Garage - Mechanical
2966,Bayview,39,Late Leaving Garage - Management
2967,Braecrest Loop,52,Mechanical
2968,HUMBERWOOD LOOP,36,Mechanical
2969,YONGE/STEELES,53,Mechanical
2970,Dufferin and King,29,Investigation
2971,Downsview Park,101,Vision
2972,FINCH/WESTON,36,Late Leaving Garage - Mechanical
2973,Landsdown at Colledge,47,Mechanical
2974,Sheppard West Station,106,Utilized Off Route
2975,Greenwin Village and Bathurst,7,Mechanical
2976,Sandhurst Circle,39,Diversion
2977,Rathburn & The West Mall,112,Mechanical
2978,Bathurst and Canyon,600,Mechanical
2979,Neilson and keeler blvd,133,Mechanical
2980,STC,129,Mechanical
2981,Eglinton station,54,Utilized Off Route
2982,"On Weston, at Jane",600,Investigation
2983,Lawrence Station,124,Mechanical
2984,Carluke and Fifeshire,78,Mechanical
2985,Finch and Kipling,36,Investigation
2986,Eglinton and Warden,34,Investigation
2987,Bayview / Eglinton,54,Mechanical
2988,Brentcliffe and Eglinton,56,Mechanical
2989,Bathurst and Glen Park,7,Diversion
2990,Pioneer Village Station,106,Mechanical
2991,Pape Station,25,Mechanical
2992,WELLESLEY and Bay,94,Investigation
2993,Pine at Lawrence,79,Mechanical
2994,Pioneer Village Station,41,Investigation
2995,Kennedy Station,43,Mechanical
2996,Kennedy Station,116,Utilized Off Route
2997,Port Union / Lawrence,54,Investigation
2998,St.clair Yonge Station,74,Mechanical
2999,Orton Park / Lawrence,54,Investigation
3000,Keele and Dundas,41,Diversion
3001,Finch West Station,36,Mechanical
3002,Finch West Station,36,Late Leaving Garage - Operator
3003,Dixon / Royal York,52,Mechanical
3004,Brimley and Port Royal,21,Investigation
3005,Steeles and Victoria Park drive,53,Mechanical
3006,Greenwood Stn,31,Mechanical
