Oct,2018,1682000,90994000
Nov,2018,1705000,117691000
Dec,2018,1544000,84560000
Jan,2019,1625000,101306000
Feb,2019,1670000,87963000
Mar,2019,1725000,114168000
Apr,2019,1681000,89577000
May,2019,1683000,90447000
Jun,2019,1725000,114193000
Jul,2019,1627000,89803000
Aug,2019,1596000,86666000
Sep,2019,1798000,122355000
Oct,2019,1778000,94656000
Nov,2019,1807000,99089000
Dec,2019,1587000,93543000
Jan,2020,1670000,103040000
Feb,2020,1726000,92443000
Mar,2020,972000,71323000
Apr,2020,205000,13663000
May,2020,263000,14087000
Jun,2020,345000,24823000
Jul,2020,512000,29582000
Aug,2020,586000,32996000
Sep,2020,629000,44809000
