1874,SPADINA AND QUEEN,805,Overhead - Pantograph
1875,Queen and Roncesvalles,501,Held By
1876,College and Beverley,506,Held By
1877,Main station,506,Mechanical
1878,Distaliry Loop,504,Mechanical
1879,Bathurst Station,511,Investigation
1880,Brant/ King,504,Investigation
1881,King/Brant,504,Emergency Services
1882,Dundas and Huron,505,Investigation
1883,St clair stn,705,Mechanical
1884,Parliament and Dundas,505,Emergency Services
1885,CONNAUGHT AND QUEEN,501,Mechanical
1886,Spadina at Front,511,Mechanical
1887,Gerrard  Jones,506,Diversion
1888,College and University,506,Emergency Services
1889,CNE,509,Mechanical
1890,Gerrard and Coxwell,506,Emergency Services
1891,Queen/Carlaw,501,Investigation
1892,Queen/Woodfield,501,Investigation
1893,Queen and Glen Holm,501,Held By
1894,Queen and Sumach,501,Held By
1895,Queen and Kingston Rd,501,Emergency Services
1896,Queen and Sumach,501,Held By
1897,Connaught and Queen,301,Mechanical
1898,Spadina and Front,510,Held By
1899,Roncesvalles and Garden,504,Emergency Services
1900,Dundas West Station,505,Overhead - Pantograph
1901,Broadview and Queen,501,Diversion
1902,Main Station,506,Mechanical
1903,Neville Loop,501,Mechanical
1904,Humber Loop,501,Mechanical
1905,Queen/Jarvis,501,Held By
1906,Queen/King,501,Investigation
1907,Queen/Sumach,501,Held By
1908,King/Sumach,504,Mechanical
1909,CNE,511,Mechanical
1910,Main STN,506,Mechanical
1911,Spadina and Queen's Quay,510,Diversion
1912,HIPK,506,Mechanical
1913,King and Simcoe,504,Held By
1914,Spadina and King,504,Investigation
1915,Exhibition Loop,511,Mechanical
1916,Queen St E and Sumach Ave,501,Emergency Services
1917,Queen St E and Connaught,501,Mechanical
1918,Braodview Danforth,505,Mechanical
1919,CNE,511,Mechanical
1920,Queen/Gladstone,501,Mechanical
1921,Spadina,510,Emergency Services
1922,Dundas and Parliament,505,Mechanical
1923,Parliament and Dundas,505,Mechanical
1924,College and Dufferin,506,Held By
1925,Bathurst Stn,511,Utilized Off Route
1926,Dufferin Loop,504,Mechanical
1927,Dudnas and Yonge,505,Held By
1928,Dundas and Yonge,505,Held By
1929,Lakeshore/Parklawn,501,Mechanical
1930,Queen/Connaught,501,Late Leaving Garage
1931,Humber loop,501,Mechanical
1932,Broadview Station,505,Mechanical
