1,GREENWOOD STATION,BD,MUSC,Miscellaneous Speed Control
2,EGLINTON STATION,YU,MUO,Miscellaneous Other
3,LESLIE STATION,SHP,TUSC,Operator Overspeeding
4,DUNDAS STATION,YU,TUMVS,Operator Violated Signal
5,VAUGHAN MC STATION,YU,TUNIP,Operator Not In Position
6,FINCH STATION,YU,MUSAN,Unsanitary Vehicle
7,KENNEDY BD STATION,BD,TUO,Transportation Department - Other
8,BLOOR STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
9,QUEEN STATION,YU,SUUT,Unauthorized at Track Level
10,VAUGHAN MC STATION,YU,MUATC,ATC Project
11,VAUGHAN MC STATION,YU,MUATC,ATC Project
12,EGLINTON STATION,YU,EUOE,Rail Cars & Shops Opr. Error
13,DAVISVILLE STATION,YU,MUO,Miscellaneous Other
14,DUNDAS STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
15,SHEPPARD WEST STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
16,COXWELL STATION,BD,MUSAN,Unsanitary Vehicle
17,SHEPPARD WEST STATION,YU,MUATC,ATC Project
18,VAUGHAN MC STATION,YU,TUNIP,Operator Not In Position
19,GLENCAIRN STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
20,UNION STATION,YU,SUDP,Disorderly Patron
21,FINCH STATION,YU,TUSC,Operator Overspeeding
22,DUFFERIN STATION,BD,SUDP,Disorderly Patron
23,LAWRENCE WEST STATION,YU,MUATC,ATC Project
24,VICTORIA PARK STATION,BD,TUMVS,Operator Violated Signal
25,VICTORIA PARK STATION,BD,TUMVS,Operator Violated Signal
26,KING STATION,YU,MUATC,ATC Project
27,YORK MILLS STATION,YU,MUSC,Miscellaneous Speed Control
28,QUEEN STATION,YU,MUSC,Miscellaneous Speed Control
29,LAWRENCE STATION,YU,EUSC,Speed Control Equipment  
30,KENNEDY BD STATION,BD,MUO,Miscellaneous Other
31,GREENWOOD STATION,BD,SUDP,Disorderly Patron
32,PIONEER VILLAGE STATIO,YU,EUDO,Door Problems - Faulty Equipment
33,OSSINGTON STATION,BD,SUDP,Disorderly Patron
34,KENNEDY SRT STATION,SRT,MRTO,Timeout
35,MCCOWAN STATION,SRT,TRTC,Transit Control Related Problems
36,CHRISTIE STATION,BD,EUCA,Compressed Air
37,VICTORIA PARK STATION,BD,TUOS,Operator Overshot Platform
38,KENNEDY BD STATION,BD,MUO,Miscellaneous Other
39,WELLESLEY STATION,YU,SUDP,Disorderly Patron
40,YONGE BD STATION,BD,SUDP,Disorderly Patron
41,SPADINA BD STATION,BD,SUDP,Disorderly Patron
